Blue,Green,Red,NIR,SWIR-1,SWIR-2,Landcover
0.05615,0.07725,0.07125,0.246,0.1879,0.10925,10
0.0642,0.0815,0.0841,0.1981,0.1975,0.13895,10
0.0708,0.0879,0.085,0.1794,0.1655,0.1136,10
0.061,0.0845,0.07795,0.2668,0.1812,0.0999,10
0.0673,0.0877,0.0819,0.2382,0.1906,0.122,10
0.0447,0.0626,0.0561,0.195,0.1773,0.1006,10
0.046,0.06665,0.0496,0.2587,0.176,0.09385,10
0.042,0.06,0.045,0.2394,0.1763,0.0884,10
0.048,0.0714,0.0582,0.2332,0.1898,0.1017,10
0.05195,0.07715,0.06,0.2697,0.2109,0.12195,10
0.0453,0.0662,0.0488,0.2784,0.188,0.09,10
0.0504,0.0723,0.048,0.3024,0.2098,0.1089,10
0.0695,0.0976,0.0805,0.2415,0.20575,0.1144,10
0.0433,0.0614,0.04575,0.2469,0.1568,0.09515,10
0.0476,0.0699,0.0421,0.232,0.1235,0.0569,10
0.059,0.073,0.057,0.2182,0.1683,0.0999,10
0.0585,0.07065,0.06105,0.2065,0.15495,0.09745,10
0.0518,0.076,0.0549,0.2526,0.1898,0.0956,10
0.04725,0.0692,0.04815,0.2634,0.17505,0.08645,10
0.0377,0.0619,0.03975,0.2699,0.18825,0.09285,10
0.0464,0.0612,0.0466,0.2438,0.1537,0.0787,10
0.0409,0.0628,0.0418,0.217,0.1635,0.0782,10
0.0554,0.0819,0.0642,0.2508,0.2123,0.1616,10
0.0567,0.075,0.0696,0.2518,0.1751,0.1131,10
0.0429,0.0675,0.055,0.2652,0.1688,0.0907,10
0.0388,0.0598,0.0439,0.2814,0.182,0.0876,10
0.0499,0.0746,0.0648,0.2684,0.1653,0.0933,10
0.0547,0.08135,0.0781,0.2391,0.20295,0.13315,10
0.0725,0.091,0.0918,0.2426,0.1837,0.1283,10
0.053,0.0763,0.0688,0.2676,0.2123,0.1474,10
0.0542,0.08035,0.0509,0.3309,0.18605,0.07885,10
0.0536,0.0761,0.0547,0.2266,0.1735,0.0931,10
0.0581,0.0725,0.0561,0.2216,0.1718,0.0982,10
0.0427,0.0611,0.04535,0.2441,0.1831,0.0995,10
0.0569,0.0915,0.0697,0.2776,0.2067,0.1211,10
0.0515,0.07055,0.06175,0.2444,0.16935,0.1084,10
0.04015,0.0554,0.0416,0.2355,0.16425,0.0809,10
0.0554,0.0685,0.0527,0.2388,0.1812,0.0944,10
0.04385,0.0714,0.0485,0.2406,0.1832,0.09895,10
0.0601,0.0821,0.0652,0.2242,0.1422,0.0792,10
0.0426,0.059,0.0413,0.2428,0.16435,0.0801,10
0.047,0.067,0.0467,0.244,0.1715,0.0893,10
0.0456,0.05775,0.04135,0.2367,0.13255,0.0694,10
0.04785,0.0636,0.0524,0.185,0.1734,0.1041,10
0.05945,0.08235,0.07835,0.1934,0.2253,0.14815,10
0.051,0.0676,0.0443,0.3396,0.2026,0.0981,10
0.0713,0.08815,0.08795,0.1964,0.18225,0.1207,10
0.0502,0.0676,0.0515,0.3051,0.17405,0.10745,10
0.055,0.0636,0.0534,0.1984,0.199,0.1346,10
0.0635,0.0902,0.06165,0.3145,0.19595,0.09875,10
0.05075,0.07015,0.04825,0.2959,0.1828,0.0878,10
0.0666,0.0934,0.0572,0.3552,0.1888,0.0855,10
0.0712,0.0959,0.1036,0.2252,0.2522,0.1746,10
0.0562,0.0765,0.0744,0.189,0.2114,0.1304,10
0.0635,0.0805,0.0527,0.3586,0.2045,0.0899,10
0.0411,0.06165,0.04355,0.2898,0.1827,0.0912,10
0.0562,0.0851,0.0617,0.3338,0.197,0.1013,10
0.0447,0.0597,0.0509,0.2356,0.1728,0.0967,10
0.0451,0.0677,0.04955,0.2359,0.1697,0.09135,10
0.06385,0.08405,0.07435,0.2132,0.15535,0.10975,10
0.0414,0.05495,0.0497,0.1857,0.1624,0.0966,10
0.0654,0.0885,0.096,0.1972,0.2014,0.1476,10
0.0436,0.0566,0.0428,0.1882,0.1295,0.066,10
0.0681,0.0907,0.1092,0.2302,0.2327,0.1558,10
0.068,0.085,0.081,0.2664,0.1866,0.1369,10
0.0633,0.0873,0.0768,0.2198,0.1543,0.1002,10
0.0345,0.05095,0.03365,0.2495,0.14545,0.06495,10
0.0448,0.0642,0.04775,0.2294,0.16005,0.0812,10
0.0579,0.08,0.0686,0.2574,0.1997,0.1437,10
0.06915,0.06985,0.05935,0.1229,0.1241,0.09475,10
0.06735,0.08345,0.07915,0.2063,0.16415,0.1174,10
0.0516,0.0838,0.0611,0.3544,0.2005,0.1045,10
0.07575,0.08955,0.07735,0.2852,0.17555,0.09805,10
0.0524,0.074,0.0522,0.3312,0.20345,0.0918,10
0.0454,0.0605,0.044,0.2708,0.1807,0.0862,10
0.0604,0.0817,0.0798,0.2564,0.1946,0.1205,10
0.0519,0.0766,0.0814,0.219,0.2088,0.1416,10
0.0606,0.0728,0.0586,0.207,0.1611,0.0884,10
0.06075,0.0829,0.0778,0.2495,0.198,0.12185,10
0.0748,0.1004,0.0946,0.2448,0.2239,0.1563,10
0.0495,0.0696,0.0715,0.1884,0.2061,0.1223,10
0.0658,0.0802,0.0583,0.2198,0.1589,0.0824,10
0.0543,0.0684,0.0446,0.2742,0.1651,0.078,10
0.0566,0.0762,0.0522,0.3298,0.2073,0.1067,10
0.0535,0.0738,0.0543,0.2354,0.18165,0.10165,10
0.0468,0.06785,0.05745,0.2295,0.1545,0.0912,10
0.0394,0.0606,0.0411,0.2834,0.1766,0.087,10
0.0566,0.0754,0.0582,0.294,0.16135,0.08845,10
0.093,0.1037,0.1054,0.1939,0.1697,0.1355,10
0.0501,0.0606,0.0487,0.1582,0.1129,0.0652,10
0.0474,0.0611,0.0537,0.1748,0.162,0.1181,10
0.0564,0.0752,0.0597,0.2356,0.195,0.103,10
0.0588,0.0832,0.073,0.2608,0.2329,0.1408,10
0.04315,0.05805,0.04505,0.2281,0.1655,0.0799,10
0.0597,0.098,0.0585,0.3928,0.1921,0.0995,10
0.058,0.0775,0.063,0.2266,0.1997,0.1121,10
0.0454,0.0662,0.0536,0.2846,0.1513,0.0804,10
0.06005,0.0761,0.0657,0.2339,0.17205,0.11025,10
0.0497,0.0745,0.0661,0.2898,0.1776,0.0972,10
0.03865,0.06305,0.0445,0.2654,0.17695,0.0862,10
0.0525,0.0696,0.0586,0.2472,0.1931,0.1236,10
