,Band2,Band3,Band4,Band5,Water
0,90,59,58,12,1
1,94,57,62,14,1
2,88,55,56,15,1
3,87,54,58,12,1
4,94,59,61,16,1
5,90,57,58,11,1
6,88,56,55,11,1
7,101,65,75,22,1
8,92,62,63,16,1
9,97,61,62,15,1
10,85,59,69,22,1
11,92,62,66,14,1
12,90,58,55,13,1
13,92,60,62,13,1
14,92,54,61,17,1
15,93,59,57,13,1
16,92,57,56,11,1
17,93,58,68,20,1
18,91,60,62,14,1
19,90,56,65,16,1
20,90,57,62,15,1
21,97,68,70,29,1
22,100,63,72,20,1
23,98,60,62,13,1
24,87,55,56,13,1
25,90,59,63,14,1
26,91,59,60,13,1
27,85,54,55,11,1
28,98,64,71,18,1
29,97,61,71,18,1
30,94,57,64,18,1
31,99,56,61,9,1
32,105,67,70,23,1
33,97,63,69,18,1
34,95,58,63,17,1
35,94,63,68,19,1
36,100,69,64,12,1
37,89,57,58,12,1
38,89,57,57,13,1
39,86,56,59,16,1
40,93,56,62,17,1
41,88,53,55,13,1
42,92,59,60,12,1
43,95,60,68,20,1
44,92,57,61,17,1
45,89,56,57,12,1
46,90,56,55,11,1
47,90,59,60,12,1
48,83,51,51,11,1
49,89,57,59,13,1
50,90,57,59,12,1
51,87,55,55,10,1
52,96,61,58,12,1
53,89,55,63,17,1
54,93,57,63,17,1
55,90,55,63,16,1
56,89,56,59,14,1
57,92,57,56,12,1
58,95,61,66,17,1
59,94,58,61,16,1
60,96,61,66,19,1
61,87,57,60,14,1
62,88,55,57,12,1
63,91,57,57,13,1
64,95,61,65,14,1
65,94,59,64,15,1
66,96,62,64,15,1
67,101,63,65,16,1
68,92,58,64,16,1
69,91,59,62,15,1
70,90,56,67,18,1
71,92,57,55,11,1
72,95,60,59,13,1
73,99,64,72,21,1
74,91,57,57,12,1
75,96,61,63,17,1
76,90,56,55,12,1
77,89,55,53,11,1
78,97,59,62,16,1
79,85,57,56,13,1
80,92,54,63,18,1
81,92,56,60,11,1
82,89,57,56,11,1
83,94,61,62,15,1
84,91,57,56,11,1
85,89,59,58,12,1
86,88,56,59,12,1
87,97,62,66,15,1
88,89,57,56,13,1
89,90,60,63,14,1
90,92,60,65,17,1
91,94,58,60,16,1
92,90,58,56,12,1
93,92,60,62,16,1
94,92,58,58,10,1
95,87,59,57,13,1
96,86,56,55,11,1
97,89,57,59,12,1
98,89,57,56,14,1
99,88,56,58,13,1
100,96,61,65,18,1
101,94,58,61,12,1
102,90,57,56,14,1
103,92,58,59,12,1
104,88,56,57,16,1
105,94,60,60,17,1
106,90,55,58,12,1
107,104,70,77,26,1
